codigo,tipo,cuenta,tipo_catalogo
1130010701,,Emitidos por instituciones extranjeras - ML,4
1130010702,,Emitidos por instituciones extranjeras - ME,4
1130010801,,Emitidos por el Instituto de Garantía de Depósitos - ML,4
1130010802,,Emitidos por el Instituto de Garantía de Depósitos - ME,4
1130019901,,Intereses y otros por cobrar - ML,4
1130019902,,Intereses y otros por cobrar - ME,4
113002,,TÍTULOSVALORES TRANSFERIDOS,4
1130020101,,Emitidos por el BCR - ML,4
1130020102,,Emitidos por el BCR - ME,4
1130020201,,Emitidos por el Estado - ML,4
1130020202,,Emitidos por el Estado - ME,4
1130020301,,Emitidos por empresas privadas - ML,4
1130020302,,Emitidos por empresas privadas - ME,4
1130020501,,Emitidos por bancos - ML,4
1130020502,,Emitidos por bancos - ME,4
1130020601,,Emitidos por otras entidades del Sistema Financiero - ML,4
1130020602,,Emitidos por otras entidades del Sistema Financiero - ME,4
1130020701,,Emitidos por instituciones extranjeras - ML,4
1130020702,,Emitidos por instituciones extranjeras - ME,4
1130020801,,Emitidos por el Instituto de Garantía de Depósitos - ML,4
1130020802,,Emitidos por el Instituto de Garantía de Depósitos - ME,4
1130029901,,Intereses y otros por cobrar - ML,4
1130029902,,Intereses y otros por cobrar - ME,4
113003,,COLOCACIÓN DE FONDOS,4
1130030101,,Fondos en administración de cartera - ML,4
1130030102,,Fondos en administración de cartera - ME,4
1131,,TÍTULOSVALORES PARA CONSERVARSE HASTA EL VENCIMIENTO,4
113100,,TITULOSVALORES PARA CONSERVARSE HASTA EL VENCIMIENTO,4
1131000101,,Emitidos por el BCR - ML,4
1131000102,,Emitidos por el BCR - ME,4
1131000201,,Emitidos por el Estado - ML,4
1131000202,,Emitidos por el Estado - ME,4
1131000301,,Emitidos por empresas privadas - ML,4
1131000302,,Emitidos por empresas privadas - ME,4
1131000501,,Emitidos por bancos - ML,4
1131000502,,Emitidos por bancos - ME,4
1131000601,,Emitidos por otras entidades del Sistema Financiero - ML,4
1131000602,,Emitidos por otras entidades del Sistema Financiero - ME,4
1131000701,,Emitidos por instituciones extranjeras - ML,4
1131000702,,Emitidos por instituciones extranjeras - ME,4
1131000801,,Emitidos por el Instituto de Garantía de Depósitos - ML,4
1131000802,,Emitidos por el Instituto de Garantía de Depósitos - ME,4
1131009901,,Intereses y otros por cobrar - ML,4
1131009902,,Intereses y otros por cobrar - ME,4
1132,,TÍTULOSVALORES DISPONIBLES PARA VENTA,4
113200,,TÍTULOSVALORES DISPONIBLES PARA VENTA,4
1132000101,,Emitidos por el BCR - ML,4
1132000102,,Emitidos por el BCR - ME,4
1132000201,,Emitidos por el Estado - ML,4
1132000202,,Emitidos por el Estado - ME,4
1132000301,,Emitidos por empresas privadas - ML,4
1132000302,,Emitidos por empresas privadas - ME,4
1132000501,,Emitidos por bancos - ML,4
1132000502,,Emitidos por bancos - ME,4
1132000601,,Emitidos por otras entidades del Sistema Financiero - ML,4
1132000602,,Emitidos por otras entidades del Sistema Financiero - ME,4
1132000701,,Emitidos por instituciones extranjeras - ML,4
1132000702,,Emitidos por instituciones extranjeras - ME,4
1132000801,,Emitidos por el Instituto de Garantía de Depósitos - ML,4
1132000802,,Emitidos por el Instituto de Garantía de Depósitos - ME,4
1132009901,,Intereses y otros por cobrar - ML,4
